,num_sessions,city,country,device_class,instant_booking,user_verified,days
0,1,Oxford,GB,desktop,Instant,Verified,30
1,1,Manchester,GB,phone,Not_instant,Verified,30
2,1,Düsseldorf,DE,desktop,Not_instant,Verified,30
3,1,Munich,DE,desktop,Not_instant,Verified,243
4,1,Frankfurt,DE,desktop,Not_instant,Verified,30
5,1,Munich,DE,phone,Not_instant,Verified,32
6,1,Amsterdam,NL,phone,Not_instant,Verified,60
7,1,Brussels,BE,phone,Not_instant,Verified,608
8,1,Madrid,ES,desktop,Not_instant,Verified,33
9,1,London,GB,desktop,Not_instant,Verified,76
10,1,Paris,FR,phone,Not_instant,Verified,83
11,1,Kaiserslautern,DE,desktop,Not_instant,Verified,365
12,2,London,GB,desktop,Instant,Verified,31
13,1,Berlin,DE,phone,Not_instant,Verified,98
14,1,Berlin,DE,desktop,Not_instant,Verified,152
15,1,Barcelona,ES,desktop,Not_instant,Verified,33
16,1,Barcelona,ES,phone,Instant,Verified,63
17,1,Heidelberg,DE,desktop,Not_instant,Verified,49
18,1,Amsterdam,NL,desktop,Not_instant,Verified,61
19,2,Berlin,DE,phone,Not_instant,Verified,183
20,1,Basel,CH,desktop,Not_instant,Verified,51
21,1,Madrid,ES,desktop,Not_instant,Verified,33
22,1,Berlin,DE,desktop,Not_instant,Verified,91
23,1,Berlin,DE,desktop,Not_instant,Verified,147
24,1,Amsterdam,NL,desktop,Instant,Verified,30
25,1,Paris,FR,phone,Not_instant,Verified,29
26,1,Basel,CH,desktop,Not_instant,Verified,32
27,1,Berlin,DE,desktop,Not_instant,Verified,237
28,1,London,GB,desktop,Not_instant,Verified,30
29,1,Berlin,DE,desktop,Not_instant,Verified,60
30,1,Unterföhring,DE,phone,Not_instant,Verified,91
31,1,Darmstadt,DE,desktop,Not_instant,Verified,144
32,1,Barcelona,ES,phone,Not_instant,Verified,33
33,1,Berlin,DE,desktop,Not_instant,Verified,104
34,1,Amsterdam,NL,phone,Not_instant,Verified,148
35,1,Berlin,DE,desktop,Instant,Verified,121
36,1,Munich,DE,desktop,Not_instant,Verified,65
37,1,Vienna,AT,desktop,Not_instant,Verified,273
38,1,Berlin,DE,desktop,Not_instant,Verified,98
39,1,Vienna,AT,phone,Not_instant,Verified,42
40,1,Vienna,AT,desktop,Not_instant,Verified,106
41,1,Berlin,DE,desktop,Not_instant,Verified,364
42,1,Dublin,IE,phone,Not_instant,Verified,91
43,1,Barcelona,ES,desktop,Not_instant,Verified,61
44,1,Munich,DE,desktop,Instant,Verified,79
45,1,Dresden,DE,phone,Not_instant,Verified,89
46,1,Berlin,DE,phone,Not_instant,Verified,36
47,1,Berlin,DE,phone,Not_instant,Verified,121
48,1,Heddesheim,DE,desktop,Not_instant,Verified,30
49,1,Stuttgart,DE,desktop,Not_instant,Verified,30
50,1,Madrid,ES,desktop,Instant,Verified,55
51,1,Amsterdam,NL,desktop,Not_instant,Verified,60
52,1,Cologne,DE,desktop,Not_instant,Verified,30
53,1,Bonn,DE,desktop,Instant,Verified,91
54,1,Ostfildern,DE,desktop,Not_instant,Verified,95
55,1,Paris,FR,phone,Not_instant,Verified,121
